party,name,born,took_office,left_office
Independent,George Washington,1732-02-22,1789-04-30,1797-03-04
Federalist,John Adams,1735-10-30,1797-03-04,1801-03-04
Democratic-Republican,Thomas Jefferson,1743-04-13,1801-03-04,1809-03-04
Democratic-Republican,James Madison,1751-03-16,1809-03-04,1817-03-04
Democratic-Republican,James Monroe,1758-04-28,1817-03-04,1825-03-04
Democratic-Republican,John Quincy Adams,1767-07-11,1825-03-04,1829-03-04
Democratic,Andrew Jackson,1767-03-15,1829-03-04,1837-03-04
Democratic,Martin Van Buren,1782-12-05,1837-03-04,1841-03-04
Democratic,James K. Polk,1795-11-02,1845-03-04,1849-03-04
Democratic,Franklin Pierce,1804-11-23,1853-03-04,1857-03-04
Democratic,James Buchanan,1791-04-23,1857-03-04,1861-03-04
Democratic,Andrew Johnson,1808-12-29,1865-04-15,1869-03-04
Democratic,Grover Cleveland,1837-03-18,1885-03-04,1889-03-04
Democratic,Grover Cleveland,1837-03-18,1893-03-04,1897-03-04
Democratic,Woodrow Wilson,1856-12-28,1913-03-04,1921-03-04
Democratic,Franklin D. Roosevelt,1882-01-30,1933-03-04,1945-04-12
Democratic,Harry S. Truman,1884-05-08,1945-04-12,1953-01-20
Democratic,John F. Kennedy,1917-05-29,1961-01-20,1963-11-22
Democratic,Lyndon B. Johnson,1908-08-27,1963-11-22,1969-01-20
Democratic,Jimmy Carter,1924-10-01,1977-01-20,1981-01-20
Democratic,Bill Clinton,1946-08-19,1993-01-20,2001-01-20
Democratic,Barack Obama,1961-08-04,2009-01-20,2017-01-20
Whig,William Henry Harrison,1773-02-09,1841-03-04,1841-04-04
Whig,John Tyler,1790-03-29,1841-04-04,1845-03-04
Whig,Zachary Taylor,1784-11-24,1849-03-04,1850-07-09
Whig,Millard Fillmore,1800-01-07,1850-07-09,1853-03-04
Republican,Abraham Lincoln,1809-02-12,1861-03-04,1865-04-15
Republican,Ulysses S. Grant,1822-04-27,1869-03-04,1877-03-04
Republican,Rutherford B. Hayes,1822-10-04,1877-03-04,1881-03-04
Republican,James A. Garfield,1831-11-19,1881-03-04,1881-09-19
Republican,Chester A. Arthur,1829-10-05,1881-09-19,1885-03-04
Republican,Benjamin Harrison,1833-08-20,1889-03-04,1893-03-04
Republican,William McKinley,1843-01-29,1897-03-04,1901-09-14
Republican,Theodore Roosevelt,1858-10-27,1901-09-14,1909-03-04
Republican,William Howard Taft,1857-09-15,1909-03-04,1913-03-04
Republican,Warren G. Harding,1865-11-02,1921-03-04,1923-08-02
Republican,Calvin Coolidge,1872-07-04,1923-08-02,1929-03-04
Republican,Herbert Hoover,1874-08-10,1929-03-04,1933-03-04
Republican,Dwight D. Eisenhower,1890-10-14,1953-01-20,1961-01-20
Republican,Richard Nixon,1913-01-09,1969-01-20,1974-08-09
Republican,Gerald Ford,1913-07-14,1974-08-09,1977-01-20
Republican,Ronald Reagan,1911-02-06,1981-01-20,1989-01-20
Republican,George H. W. Bush,1924-06-12,1989-01-20,1993-01-20
Republican,George W. Bush,1946-07-06,2001-01-20,2009-01-20
